kegg	gene
dre00500	449945
dre00500	493916
dre00500	553655
dre00500	553722
dre00500	555748
dre00500	559212
dre00500	561803
dre00500	562399
dre00500	563180
dre00500	567798
dre00500	751668
dre00500	790919
dre00500	795901
dre00510	100000478
dre00510	100148828
dre00510	100331575
dre00510	100333333
dre00510	100333987
dre00510	100334730
dre00510	101882461
dre00510	101884072
dre00510	266797
dre00510	323918
dre00510	325561
dre00510	327601
dre00510	334161
dre00510	335538
dre00510	335985
dre00510	393598
dre00510	393649
dre00510	393782
dre00510	403068
dre00510	403116
dre00510	406408
dre00510	407614
dre00510	431727
dre00510	436733
dre00510	445202
dre00510	445327
dre00510	445376
dre00510	450072
dre00510	474331
dre00510	492796
dre00510	550425
dre00510	553582
dre00510	553676
dre00510	553725
dre00510	556237
dre00510	556544
dre00510	557181
dre00510	558524
dre00510	560219
dre00510	561756
dre00510	562592
dre00510	563038
dre00510	566078
dre00510	566527
dre00510	566539
dre00510	567913
dre00510	569494
dre00510	570828
dre00510	724006
dre00510	751635
dre00510	768123
dre00510	796295
dre00510	797512
dre00510	799960
dre00511	100000684
dre00511	100003570
dre00511	323613
dre00511	335494
dre00511	393128
dre00511	445165
dre00511	445250
dre00511	445487
dre00511	541364
dre00511	541519
dre00511	548343
dre00511	550460
dre00511	553569
dre00511	555206
dre00511	559072
dre00511	559240
dre00511	559850
dre00511	561239
dre00511	565372
dre00511	566517
dre00511	569595
dre00511	767799
dre00511	780844
dre00511	793046
dre00512	100170813
dre00512	100310831
dre00512	100330695
dre00512	100331984
dre00512	100332076
dre00512	100535692
dre00512	324052
dre00512	324510
dre00512	337131
dre00512	406477
dre00512	445562
dre00512	503760
dre00512	553668
dre00512	555344
dre00512	557675
dre00512	558716
dre00512	559073
dre00512	559373
dre00512	559736
dre00512	562739
dre00512	564336
dre00512	567794
dre00512	568547
dre00512	568915
dre00512	570248
dre00512	724080
dre00512	797549
dre00512	799387
dre00514	100003546
dre00514	100148828
dre00514	100333154
dre00514	101884072
dre00514	101886595
dre00514	30158
dre00514	337685
dre00514	403029
dre00514	403116
dre00514	407659
dre00514	414848
dre00514	445060
dre00514	445322
dre00514	445376
dre00514	493633
dre00514	548607
dre00514	550425
dre00514	556077
dre00514	556315
dre00514	556544
dre00514	558068
dre00514	561756
dre00514	562250
dre00514	563878
dre00514	564156
dre00514	565862
dre00514	567541
dre00514	567859
dre00514	569769
dre00514	571876
dre00514	641495
dre00514	652952
dre00514	768123
dre00514	777668
dre00514	796410
dre00514	798087
